id,documento,tipo_persona
63532,69808-6542,NO_RELACIONADO
63533,87095-8970,PROFESOR
63534,52223-5250,PROFESOR
63535,40079-6588,EGRESADO
63536,54427-7421,ESTUDIANTE
63537,07732-6422,NO_RELACIONADO
63538,11164-6529,ESTUDIANTE
63539,72534-1956,PADRE
63540,62762-7015,NO_RELACIONADO
63541,01719-7887,ESTUDIANTE
63542,43961-5897,VECINO
63543,29001-2183,EMPLEADO
63544,34444-1721,ESTUDIANTE
63545,26268-2491,PADRE
63546,04739-0349,PROFESOR
63547,66990-9137,EGRESADO
63548,21659-1577,VECINO
63549,44900-0870,PADRE
63550,57731-3004,ESTUDIANTE
63551,66616-5784,EGRESADO
63552,16146-2313,PADRE
63553,39896-6550,PROFESOR
63554,27847-8825,ESTUDIANTE
63555,39627-0220,NO_RELACIONADO
63556,01101-5294,EGRESADO
63557,44065-5896,VECINO
63558,12704-1186,EMPLEADO
63559,86891-2791,PROFESOR
63560,57426-5609,VECINO
63561,79539-8459,VECINO
63562,02590-5395,PROFESOR
63563,56122-0909,EMPLEADO
63564,35153-5124,VECINO
63565,56693-1953,VECINO
63566,88190-5621,EMPLEADO
63567,93429-7889,NO_RELACIONADO
63568,40789-3956,EMPLEADO
63569,64312-6412,EGRESADO
63570,73565-6339,NO_RELACIONADO
63571,41354-6601,EMPLEADO
63572,38507-5282,ESTUDIANTE
63573,85947-7999,PADRE
63574,73677-7648,VECINO
63575,55771-6148,EMPLEADO
63576,96876-3267,VECINO
63577,73221-5289,PROFESOR
63578,67071-4197,EGRESADO
63579,98627-5113,ESTUDIANTE
63580,39627-7997,PADRE
63581,17160-1311,EMPLEADO
63582,13187-0843,PROFESOR
63583,22046-8256,PROFESOR
63584,47963-3539,EGRESADO
63585,53503-7765,EGRESADO
63586,68871-5917,VECINO
63587,85812-4529,PADRE
63588,37361-3173,PADRE
63589,33645-5601,PROFESOR
63590,66843-0209,PROFESOR
63591,46921-9782,PROFESOR
63592,96067-2446,PROFESOR
63593,74187-0057,EGRESADO
63594,92271-1522,VECINO
63595,00391-3229,NO_RELACIONADO
63596,85379-2330,PROFESOR
63597,74552-8288,EGRESADO
63598,87071-2298,EGRESADO
63599,25294-8872,EGRESADO
63600,82753-3041,EGRESADO
63601,15257-6294,EGRESADO
63602,53960-3578,NO_RELACIONADO
63603,41439-3453,VECINO
63604,99882-6938,PADRE
63605,95080-7399,NO_RELACIONADO
63606,98431-2900,PROFESOR
63607,12620-6078,NO_RELACIONADO
63608,44401-2352,ESTUDIANTE
63609,89261-0096,ESTUDIANTE
63610,32914-0001,EMPLEADO
63611,93237-5126,VECINO
63612,28362-0385,ESTUDIANTE
63613,56203-7698,NO_RELACIONADO
63614,34505-7092,PROFESOR
63615,39686-3607,VECINO
63616,20676-5258,EGRESADO
63617,22085-9072,EGRESADO
63618,42567-7011,NO_RELACIONADO
63619,37351-6106,NO_RELACIONADO
63620,17942-3222,PROFESOR
63621,09162-9246,ESTUDIANTE
63622,79972-4667,VECINO
63623,38146-2317,ESTUDIANTE
63624,82299-2751,PADRE
63625,29108-7625,VECINO
63626,51857-9717,ESTUDIANTE
63627,79418-6790,VECINO
63628,02490-9642,PADRE
63629,29609-2873,PADRE
63630,93349-3073,PADRE
63631,46959-0975,PROFESOR
63632,07281-8907,NO_RELACIONADO
63633,76089-9544,PROFESOR
63634,00764-6069,EGRESADO
63635,36442-3648,EMPLEADO
63636,99498-2968,PADRE
63637,49587-2113,EGRESADO
63638,89067-5134,EGRESADO
63639,49456-4234,PROFESOR
63640,84346-9380,EGRESADO
63641,03947-5543,PROFESOR
63642,46946-9861,ESTUDIANTE
63643,48879-0354,EGRESADO
63644,75194-7360,PROFESOR
63645,51239-7576,EGRESADO
63646,18891-4529,PADRE
63647,88970-3829,EMPLEADO
63648,84128-5785,NO_RELACIONADO
63649,97920-8268,PROFESOR
63650,79199-0691,EGRESADO
63651,98572-6245,PADRE
63652,22877-8083,EMPLEADO
63653,87111-7394,EGRESADO
63654,52570-9672,NO_RELACIONADO
63655,64799-6148,PROFESOR
63656,36861-2714,ESTUDIANTE
63657,28713-3950,VECINO
63658,36962-5859,EGRESADO
63659,18247-8235,ESTUDIANTE
63660,00137-4723,EMPLEADO
63661,05568-4415,ESTUDIANTE
63662,36296-2006,ESTUDIANTE
63663,17874-8318,EGRESADO
63664,19768-1115,ESTUDIANTE
63665,81780-0601,EGRESADO
63666,21755-3428,PROFESOR
63667,27529-9683,PADRE
63668,02133-0495,VECINO
63669,92956-1321,EMPLEADO
63670,42556-9274,EGRESADO
63671,05541-8162,EGRESADO
63672,16546-8583,PROFESOR
63673,31936-7766,NO_RELACIONADO
63674,20049-7842,ESTUDIANTE
63675,89526-7534,ESTUDIANTE
63676,46970-8281,EGRESADO
63677,27949-9876,PADRE
63678,68300-4535,PADRE
63679,67004-1103,ESTUDIANTE
63680,17757-0089,EGRESADO
63681,49712-8301,PROFESOR
63682,21689-0266,ESTUDIANTE
63683,50319-9382,NO_RELACIONADO
63684,93753-1849,PROFESOR
63685,18327-8210,PADRE
63686,49431-1197,PADRE
63687,46283-6741,EMPLEADO
63688,36414-7818,PADRE
63689,73168-8112,NO_RELACIONADO
63690,82553-8044,PROFESOR
63691,58014-5812,VECINO
63692,15185-1376,PADRE
63693,35159-2228,EGRESADO
63694,52243-6658,EGRESADO
63695,43386-1341,PADRE
63696,92471-5576,EGRESADO
63697,38324-6484,PROFESOR
63698,92913-4232,VECINO
63699,31219-7542,EGRESADO
63700,49299-0297,EMPLEADO
63701,93144-1097,EMPLEADO
63702,96311-6278,PROFESOR
63703,97676-0120,VECINO
63704,01836-8118,EMPLEADO
63705,32168-1454,PADRE
63706,13025-9664,NO_RELACIONADO
63707,72259-3770,PADRE
63708,95194-5157,PROFESOR
63709,14861-0575,PADRE
63710,60094-0539,ESTUDIANTE
63711,68700-8981,EGRESADO
63712,52063-6688,PROFESOR
63713,60006-1672,EMPLEADO
63714,00792-6416,VECINO
63715,44748-6631,PROFESOR
63716,30100-8924,PADRE
63717,29446-3780,ESTUDIANTE
63718,28611-4803,ESTUDIANTE
63719,96466-3790,VECINO
63720,36004-6487,ESTUDIANTE
63721,57328-7162,ESTUDIANTE
63722,57219-7502,PROFESOR
63723,57849-6005,PROFESOR
63724,43507-7060,EGRESADO
63725,90340-6452,PADRE
63726,10778-0937,ESTUDIANTE
63727,28458-6225,EGRESADO
63728,63696-2991,EGRESADO
63729,87883-2661,EMPLEADO
63730,90059-0127,EGRESADO
63731,83642-8437,PADRE
63732,86815-0073,ESTUDIANTE
63733,03903-7198,EMPLEADO
63734,02835-6171,EGRESADO
63735,85911-8009,VECINO
63736,20172-2931,NO_RELACIONADO
63737,35136-4802,ESTUDIANTE
63738,86964-1357,VECINO
63739,48290-9435,EGRESADO
63740,89721-6404,PADRE
63741,13399-9322,PROFESOR
63742,79996-5992,EGRESADO
63743,18936-8279,ESTUDIANTE
63744,48169-1077,NO_RELACIONADO
63745,90539-4272,NO_RELACIONADO
63746,11440-4659,PROFESOR
63747,11839-2212,ESTUDIANTE
63748,11057-4857,PADRE
63749,53112-7066,ESTUDIANTE
63750,89052-9134,EGRESADO
63751,51260-0355,ESTUDIANTE
63752,72899-7513,EGRESADO
63753,27578-7506,EMPLEADO
63754,10915-5425,EGRESADO
63755,17753-6936,EMPLEADO
63756,07900-2080,EGRESADO
63757,52329-4219,NO_RELACIONADO
63758,93340-9800,EMPLEADO
63759,27531-0821,ESTUDIANTE
63760,02100-1900,PROFESOR
63761,86568-6074,PROFESOR
63762,49837-8656,ESTUDIANTE
63763,86971-6482,PADRE
63764,98950-3775,PADRE
63765,65664-1316,VECINO
63766,66869-2917,PADRE
63767,16367-7436,PADRE
63768,08941-8542,PADRE
63769,16552-1696,PROFESOR
63770,93002-1663,PADRE
63771,65086-8370,EGRESADO
63772,80593-4468,PROFESOR
63773,37365-8709,PADRE
63774,13069-4558,PADRE
63775,11833-3300,PROFESOR
63776,09566-6097,NO_RELACIONADO
63777,94018-1297,VECINO
63778,04882-3458,VECINO
63779,20298-4455,PROFESOR
63780,06997-5058,VECINO
63781,39140-9492,PROFESOR
63782,67902-6218,EGRESADO
63783,50354-5931,NO_RELACIONADO
63784,45363-0744,EMPLEADO
63785,53391-0483,NO_RELACIONADO
63786,86230-9959,NO_RELACIONADO
63787,13747-1131,PROFESOR
63788,17268-5497,ESTUDIANTE
63789,60918-4124,EMPLEADO
63790,14440-2418,PROFESOR
63791,49418-3192,PROFESOR
63792,72668-9382,NO_RELACIONADO
63793,75583-3954,PADRE
63794,12297-8646,VECINO
63795,44388-3990,EMPLEADO
63796,70935-0747,VECINO
63797,65003-5656,VECINO
63798,86212-5347,ESTUDIANTE
63799,76240-7115,PROFESOR
63800,82412-5810,PROFESOR
63801,33372-7547,VECINO
63802,32185-8175,PROFESOR
63803,15049-5816,PROFESOR
63804,65276-2915,PADRE
63805,14689-3081,PADRE
63806,24431-4962,VECINO
63807,06153-4883,EMPLEADO
63808,45378-4064,PROFESOR
63809,07554-2717,NO_RELACIONADO
63810,43837-6680,EGRESADO
63811,11820-4734,PADRE
63812,60908-2696,EMPLEADO
63813,93326-9581,EMPLEADO
63814,75087-6760,PADRE
63815,01692-0207,EMPLEADO
63816,69128-8202,EMPLEADO
63817,45101-2615,NO_RELACIONADO
63818,50401-5368,EGRESADO
63819,27008-6148,PADRE
63820,07087-7567,EMPLEADO
63821,85724-3679,PADRE
63822,74716-0179,PROFESOR
63823,19006-5796,VECINO
63824,99385-7859,EMPLEADO
63825,07595-3587,NO_RELACIONADO
63826,80780-3342,EGRESADO
63827,71831-6294,NO_RELACIONADO
63828,04193-3821,PROFESOR
63829,71085-5836,EGRESADO
63830,70343-7236,VECINO
63831,19071-7034,VECINO
63832,06184-4057,ESTUDIANTE
63833,66738-9405,VECINO
63834,66237-8036,EGRESADO
63835,60217-5871,PROFESOR
63836,47381-8910,EGRESADO
63837,39138-6143,PADRE
63838,89204-2730,NO_RELACIONADO
63839,05730-9762,EMPLEADO
63840,12581-3774,PROFESOR
63841,44438-9329,EMPLEADO
63842,49956-7857,PADRE
63843,39655-9882,PADRE
63844,05737-5219,EGRESADO
63845,54057-7179,PADRE
63846,57470-1813,ESTUDIANTE
63847,85342-1823,PADRE
63848,52560-9167,VECINO
63849,16221-2824,EMPLEADO
63850,58528-7985,ESTUDIANTE
63851,77511-4882,ESTUDIANTE
63852,45187-8242,EMPLEADO
63853,21763-1669,EGRESADO
63854,87304-5675,NO_RELACIONADO
63855,93316-4036,EGRESADO
63856,26101-0986,VECINO
63857,79514-6588,NO_RELACIONADO
63858,40494-9622,VECINO
63859,96066-7484,EMPLEADO
63860,05278-6917,ESTUDIANTE
63861,35991-3721,PADRE
63862,63896-8692,NO_RELACIONADO
63863,07287-1123,EMPLEADO
63864,82445-2798,PADRE
63865,07699-5528,EMPLEADO
63866,33230-1417,EMPLEADO
63867,50421-8016,NO_RELACIONADO
63868,99600-4023,VECINO
63869,97197-6676,NO_RELACIONADO
63870,46446-0180,VECINO
63871,25968-7927,EGRESADO
63872,78093-9589,VECINO
63873,68310-6301,EMPLEADO
63874,03035-2133,EMPLEADO
63875,23937-2138,NO_RELACIONADO
63876,46229-2344,EMPLEADO
63877,30805-8460,PROFESOR
63878,33742-8563,VECINO
63879,92917-9207,VECINO
63880,70676-8955,PADRE
63881,20420-9143,PADRE
63882,31404-3438,EGRESADO
63883,95694-7670,PADRE
63884,81121-8911,EGRESADO
63885,03636-7882,PROFESOR
63886,18467-2505,EGRESADO
63887,63992-9540,EMPLEADO
63888,01165-8285,PADRE
63889,98426-5750,ESTUDIANTE
63890,18876-3069,EMPLEADO
63891,74656-4522,NO_RELACIONADO
63892,86895-6794,ESTUDIANTE
63893,61244-9138,EGRESADO
63894,99578-9650,ESTUDIANTE
63895,87028-0717,VECINO
63896,96610-9080,EMPLEADO
63897,34381-7873,PROFESOR
63898,29998-8613,PADRE
63899,53191-6373,PROFESOR
63900,00383-7427,VECINO
63901,59589-2970,EGRESADO
63902,89597-9465,EGRESADO
63903,46756-2434,EMPLEADO
63904,43663-4423,ESTUDIANTE
63905,83307-7516,PADRE
63906,40340-5926,NO_RELACIONADO
63907,53692-0770,VECINO
63908,17980-9135,EGRESADO
63909,23491-2422,VECINO
63910,35544-5624,PADRE
63911,19771-7835,PROFESOR
63912,42259-0804,PADRE
63913,30614-4116,VECINO
63914,71329-9381,PROFESOR
63915,16313-1435,EGRESADO
63916,67641-1514,EGRESADO
63917,16190-3935,ESTUDIANTE
63918,38049-5918,VECINO
63919,41046-8299,VECINO
63920,20281-7387,PADRE
63921,44808-7326,EGRESADO
63922,23438-3443,PROFESOR
63923,84641-7630,EGRESADO
63924,24689-1237,NO_RELACIONADO
63925,31389-3577,VECINO
63926,74060-9079,PROFESOR
63927,47347-9719,PADRE
63928,33084-1554,PADRE
63929,99908-5881,VECINO
63930,32725-0751,ESTUDIANTE
63931,42047-4389,PADRE
63932,13578-1035,EGRESADO
63933,49149-5038,EGRESADO
63934,80590-6958,ESTUDIANTE
63935,42174-0992,PADRE
63936,46703-6427,PROFESOR
63937,03037-0970,PROFESOR
63938,95954-4869,ESTUDIANTE
63939,96445-6767,EGRESADO
63940,04909-3673,ESTUDIANTE
63941,31420-9296,VECINO
63942,41718-3072,PROFESOR
63943,24713-3467,NO_RELACIONADO
63944,25424-3801,EMPLEADO
63945,97586-3149,ESTUDIANTE
63946,14901-8235,VECINO
63947,88257-3170,ESTUDIANTE
63948,08066-9440,EGRESADO
63949,76642-3684,EGRESADO
63950,80164-2840,EGRESADO
63951,91350-6526,EGRESADO
63952,51160-4557,PROFESOR
63953,18760-2669,EGRESADO
63954,70405-5156,NO_RELACIONADO
63955,23531-2855,PADRE
63956,00935-5191,NO_RELACIONADO
63957,74365-3200,PROFESOR
63958,34759-6821,PROFESOR
63959,03066-1951,EGRESADO
63960,06376-0100,NO_RELACIONADO
63961,41538-1676,EMPLEADO
63962,64268-1282,EMPLEADO
63963,92909-4964,EMPLEADO
63964,35246-6832,NO_RELACIONADO
63965,56411-5740,VECINO
63966,89152-0425,PROFESOR
63967,21843-7838,PROFESOR
63968,95553-2487,NO_RELACIONADO
63969,33807-2300,ESTUDIANTE
63970,57059-0985,EGRESADO
63971,64224-3093,EMPLEADO
63972,89204-7419,VECINO
63973,56313-9788,ESTUDIANTE
63974,57417-4316,PADRE
63975,53736-6419,PADRE
63976,17614-3521,EMPLEADO
63977,27906-9378,NO_RELACIONADO
63978,47584-2183,EMPLEADO
63979,81939-6135,NO_RELACIONADO
63980,51346-9369,PADRE
63981,64198-9542,NO_RELACIONADO
63982,06976-8394,EGRESADO
63983,72984-1669,ESTUDIANTE
63984,91968-8396,ESTUDIANTE
63985,41372-1589,ESTUDIANTE
63986,81368-6136,PADRE
63987,73503-7067,PADRE
63988,50872-9247,VECINO
63989,58964-4864,VECINO
63990,77272-4759,ESTUDIANTE
63991,02934-1818,PROFESOR
63992,69937-4778,NO_RELACIONADO
63993,21236-4882,EGRESADO
63994,73480-4241,ESTUDIANTE
63995,56422-6819,NO_RELACIONADO
63996,03552-9270,EMPLEADO
63997,42528-3379,PADRE
63998,56635-4245,PROFESOR
63999,35665-7924,PROFESOR
64000,47363-6366,NO_RELACIONADO
64001,11290-8692,NO_RELACIONADO
64002,81903-7737,EGRESADO
64003,00347-8892,PROFESOR
64004,02266-7474,VECINO
64005,32997-9800,NO_RELACIONADO
64006,85252-1556,PADRE
64007,20371-1340,EMPLEADO
64008,67382-0814,ESTUDIANTE
64009,97203-7347,PADRE
64010,16729-1883,EGRESADO
64011,75744-4692,NO_RELACIONADO
64012,75780-3982,EMPLEADO
64013,81670-1621,EMPLEADO
64014,31432-5074,PADRE
64015,29887-0205,EGRESADO
64016,92528-1682,NO_RELACIONADO
64017,80084-2505,NO_RELACIONADO
64018,49864-9734,ESTUDIANTE
64019,15836-8773,PADRE
64020,63313-7915,PADRE
64021,54645-4667,PROFESOR
64022,28616-8902,EMPLEADO
64023,41056-3595,PROFESOR
64024,68178-0731,NO_RELACIONADO
64025,05108-6797,EGRESADO
64026,10818-3687,PADRE
64027,95530-8041,ESTUDIANTE
64028,15730-2320,EGRESADO
64029,57457-8249,PADRE
64030,64332-4445,PROFESOR
64031,77197-1727,EMPLEADO
64032,48186-9515,PROFESOR
64033,13227-1790,EGRESADO
64034,18115-3059,VECINO
64035,99483-0081,ESTUDIANTE
64036,21095-0401,VECINO
64037,30093-0749,EMPLEADO
64038,24116-7177,VECINO
64039,11009-8640,VECINO
64040,48218-8576,PADRE
64041,82960-3875,NO_RELACIONADO
64042,79654-6842,ESTUDIANTE
64043,45550-0103,PADRE
64044,86193-0262,EGRESADO
64045,09303-6021,PADRE
64046,53835-5405,VECINO
64047,71679-6999,EMPLEADO
64048,30076-1574,NO_RELACIONADO
64049,68592-4773,ESTUDIANTE
64050,36686-2777,PADRE
64051,18749-5764,VECINO
64052,24917-0983,EGRESADO
64053,29365-8699,PROFESOR
64054,47514-6295,EMPLEADO
64055,17097-6456,PADRE
64056,41065-2075,PROFESOR
64057,57588-6398,PADRE
64058,18925-8894,PADRE
64059,21953-2154,EGRESADO
64060,53358-1607,PROFESOR
64061,98660-5749,EMPLEADO
64062,71489-0283,NO_RELACIONADO
64063,86880-7795,PROFESOR
64064,13276-4315,EGRESADO
64065,97182-8223,NO_RELACIONADO
64066,26471-3774,VECINO
64067,29981-0870,NO_RELACIONADO
64068,37637-9172,VECINO
64069,12128-1369,NO_RELACIONADO
64070,82319-1215,PADRE
64071,59197-2197,PADRE
64072,65391-8484,NO_RELACIONADO
64073,94239-4160,EGRESADO
64074,16120-4408,PADRE
64075,69065-5442,NO_RELACIONADO
64076,86089-1098,EGRESADO
64077,45286-0870,EMPLEADO
64078,45461-9932,ESTUDIANTE
64079,66166-5172,VECINO
64080,99843-5254,EGRESADO
64081,99215-0856,PADRE
64082,23213-3991,ESTUDIANTE
64083,91771-5949,EMPLEADO
64084,34794-4790,PADRE
64085,70840-1746,PROFESOR
64086,91791-9519,NO_RELACIONADO
64087,46035-1290,ESTUDIANTE
64088,14249-4156,VECINO
64089,56206-4091,PROFESOR
64090,09832-0524,NO_RELACIONADO
64091,02055-1857,VECINO
64092,16470-2617,PADRE
64093,47123-8141,NO_RELACIONADO
64094,47101-3897,VECINO
64095,30884-2928,EMPLEADO
64096,04735-5950,ESTUDIANTE
64097,04773-2144,NO_RELACIONADO
64098,93856-0504,NO_RELACIONADO
64099,35048-7061,PROFESOR
64100,79250-3641,VECINO
64101,66246-0328,ESTUDIANTE
64102,91750-4871,EGRESADO
64103,26950-6114,PROFESOR
64104,38725-6081,NO_RELACIONADO
64105,71669-0796,PROFESOR
64106,97843-7380,EGRESADO
64107,59630-0613,PROFESOR
64108,11740-1450,ESTUDIANTE
64109,84143-0911,PROFESOR
64110,89482-3992,ESTUDIANTE
64111,44042-1571,PADRE
64112,31425-2178,PROFESOR
64113,45131-1772,PADRE
64114,33389-4473,EMPLEADO
64115,38619-8168,ESTUDIANTE
64116,96218-9388,EGRESADO
64117,60601-7322,ESTUDIANTE
64118,29288-5264,EGRESADO
64119,25507-0715,PROFESOR
64120,99036-0597,EGRESADO
64121,73019-5749,PADRE
64122,16393-5704,PADRE
64123,98155-4760,NO_RELACIONADO
64124,46674-4299,VECINO
64125,80251-7619,PADRE
64126,50739-0198,PADRE
64127,70133-8164,ESTUDIANTE
64128,70610-6495,EMPLEADO
64129,87830-9365,NO_RELACIONADO
64130,42247-8847,PADRE
64131,13554-6688,VECINO
64132,09249-3693,NO_RELACIONADO
64133,54751-8291,PROFESOR
64134,88950-0815,NO_RELACIONADO
64135,78915-8252,ESTUDIANTE
64136,35460-9759,EMPLEADO
64137,52393-6460,EGRESADO
64138,83216-9200,EMPLEADO
64139,95415-9994,EGRESADO
64140,32858-6872,EMPLEADO
64141,03315-5457,EGRESADO
64142,59414-1109,EGRESADO
64143,30653-9589,EMPLEADO
64144,94665-9506,ESTUDIANTE
64145,13812-5290,EMPLEADO
64146,34204-8309,EGRESADO
64147,59050-1910,PADRE
64148,70577-6807,PROFESOR
64149,92111-0423,EGRESADO
64150,87791-9394,PROFESOR
64151,96625-0510,VECINO
64152,08719-5068,EGRESADO
64153,42300-7173,PROFESOR
64154,88924-6707,EGRESADO
64155,91636-5828,NO_RELACIONADO
64156,50341-2562,PADRE
64157,50363-6324,ESTUDIANTE
64158,86837-8875,EMPLEADO
64159,22629-7527,EGRESADO
64160,34897-1285,PROFESOR
64161,74355-8677,VECINO
64162,28154-9274,PADRE
64163,31557-6311,EMPLEADO
64164,65765-7875,NO_RELACIONADO
64165,31955-3944,ESTUDIANTE
64166,46997-0492,ESTUDIANTE
64167,41792-3579,VECINO
64168,19603-4798,NO_RELACIONADO
64169,84390-7538,ESTUDIANTE
64170,75560-9459,PROFESOR
64171,39496-6184,PROFESOR
64172,47481-6560,VECINO
64173,78675-5879,ESTUDIANTE
64174,56116-9183,VECINO
64175,38728-5220,NO_RELACIONADO
64176,45370-3245,EGRESADO
64177,71037-1571,ESTUDIANTE
64178,30215-9436,ESTUDIANTE
64179,61841-6014,ESTUDIANTE
64180,03576-2387,VECINO
64181,81511-3159,VECINO
64182,66401-2855,NO_RELACIONADO
64183,12673-9279,EGRESADO
64184,59530-0773,PADRE
64185,26535-2536,NO_RELACIONADO
64186,65574-9592,VECINO
64187,04179-0129,VECINO
64188,89012-0907,PROFESOR
64189,45048-0737,VECINO
64190,15385-8692,EGRESADO
64191,72907-8909,ESTUDIANTE
64192,19089-7907,EMPLEADO
64193,98529-5426,ESTUDIANTE
64194,53297-0943,EMPLEADO
64195,98162-1521,NO_RELACIONADO
64196,24627-1699,PADRE
64197,06885-9037,VECINO
64198,79761-3838,NO_RELACIONADO
64199,62942-6407,NO_RELACIONADO
64200,18362-6109,EMPLEADO
64201,43600-8704,EGRESADO
64202,92569-3727,NO_RELACIONADO
64203,27699-0033,EGRESADO
64204,84495-5292,ESTUDIANTE
64205,84179-0847,VECINO
64206,26146-7215,PROFESOR
64207,92425-9516,ESTUDIANTE
64208,52613-1586,ESTUDIANTE
64209,38437-1292,VECINO
64210,60143-6464,PROFESOR
64211,48370-7141,EGRESADO
64212,29427-5909,PROFESOR
64213,05366-9474,NO_RELACIONADO
64214,42099-6341,EMPLEADO
64215,12717-2700,VECINO
64216,75370-0883,PROFESOR
64217,64022-4063,VECINO
64218,17931-2505,ESTUDIANTE
64219,14828-5043,PROFESOR
64220,24707-3601,PADRE
64221,59880-1048,ESTUDIANTE
64222,36094-8171,EMPLEADO
64223,64884-2624,VECINO
64224,65252-1548,VECINO
64225,24235-2674,NO_RELACIONADO
64226,82566-9756,VECINO
64227,79635-3899,VECINO
64228,63974-0140,EMPLEADO
64229,25691-1162,EGRESADO
64230,72890-9235,EMPLEADO
64231,31299-7106,ESTUDIANTE
64232,52281-1126,VECINO
64233,61312-1231,PADRE
64234,02616-7680,EMPLEADO
64235,98049-1553,EGRESADO
64236,02366-5311,ESTUDIANTE
64237,86351-4925,PROFESOR
64238,99456-5758,PROFESOR
64239,67066-2058,PROFESOR
64240,80556-3465,EGRESADO
64241,22407-5614,EMPLEADO
64242,31604-7785,NO_RELACIONADO
64243,58836-6127,ESTUDIANTE
64244,87352-3472,EGRESADO
64245,54249-4137,NO_RELACIONADO
64246,43797-0122,NO_RELACIONADO
64247,69235-4410,EGRESADO
64248,19638-3387,EGRESADO
64249,22082-5358,PADRE
64250,43073-2835,PROFESOR
64251,18843-6560,VECINO
64252,28380-6988,VECINO
64253,73864-2652,EMPLEADO
64254,91216-7805,PROFESOR
64255,27690-9121,EMPLEADO
64256,18553-9829,EGRESADO
64257,31628-6536,PADRE
64258,75151-2252,VECINO
64259,78887-4054,VECINO
64260,28221-1686,VECINO
64261,08590-2976,PADRE
64262,47090-5081,ESTUDIANTE
64263,80135-6142,EGRESADO
64264,48896-9769,NO_RELACIONADO
64265,57393-0422,NO_RELACIONADO
64266,57055-5171,EGRESADO
64267,38164-8529,EGRESADO
64268,97818-9027,ESTUDIANTE
64269,76025-5758,EGRESADO
64270,33428-0282,EMPLEADO
64271,90171-6439,EMPLEADO
64272,96937-0867,ESTUDIANTE
64273,97138-8787,PADRE
64274,73212-9975,PROFESOR
64275,21814-0946,ESTUDIANTE
64276,07176-2974,EMPLEADO
64277,20019-1801,PADRE
64278,78961-6614,EMPLEADO
64279,26500-5187,PROFESOR
64280,80579-4039,NO_RELACIONADO
64281,13186-5034,VECINO
64282,10008-4143,PADRE
64283,20220-9245,PADRE
64284,63924-7982,ESTUDIANTE
64285,69698-3432,NO_RELACIONADO
64286,63462-6941,NO_RELACIONADO
64287,45983-2621,EGRESADO
64288,85676-2220,EGRESADO
64289,38836-2637,PADRE
64290,01118-0360,NO_RELACIONADO
64291,46169-2817,VECINO
64292,54381-3445,VECINO
64293,92482-5982,NO_RELACIONADO
64294,72250-1366,ESTUDIANTE
64295,86744-6747,EGRESADO
64296,85032-8454,EMPLEADO
64297,82250-3985,EGRESADO
64298,46924-9423,ESTUDIANTE
64299,33500-1384,PADRE
64300,08404-5656,ESTUDIANTE
64301,08114-1779,EGRESADO
64302,10789-6492,ESTUDIANTE
64303,48318-7956,PROFESOR
64304,71098-1807,EGRESADO
64305,08448-3414,VECINO
64306,06001-4592,EMPLEADO
64307,26634-9966,NO_RELACIONADO
64308,29417-8312,PROFESOR
64309,52006-7303,EMPLEADO
64310,42564-5039,PADRE
64311,21118-8016,VECINO
64312,86378-8189,PADRE
64313,19479-5593,PROFESOR
64314,66033-8424,PROFESOR
64315,64090-8458,EMPLEADO
64316,76785-0754,PROFESOR
64317,84601-9413,PROFESOR
64318,41063-5733,NO_RELACIONADO
64319,37057-9665,VECINO
64320,55907-4403,VECINO
64321,56802-6793,PROFESOR
64322,40183-2455,NO_RELACIONADO
64323,72087-2361,PROFESOR
64324,57267-0559,PADRE
64325,03148-8279,EGRESADO
64326,62639-1229,VECINO
64327,48269-4705,NO_RELACIONADO
64328,45232-6003,PROFESOR
64329,47056-1319,EMPLEADO
64330,59287-5690,EGRESADO
64331,03414-4228,NO_RELACIONADO
64332,99559-4451,EMPLEADO
64333,41223-3681,EMPLEADO
64334,11992-5389,ESTUDIANTE
64335,14156-4245,NO_RELACIONADO
64336,89708-8540,ESTUDIANTE
64337,09653-1374,PADRE
64338,75607-4796,NO_RELACIONADO
64339,67270-9883,PROFESOR
64340,19409-4729,PROFESOR
64341,37695-8672,ESTUDIANTE
64342,30499-4799,VECINO
64343,74902-1517,PROFESOR
64344,22847-0451,EGRESADO
64345,65296-7656,ESTUDIANTE
64346,76775-5514,EMPLEADO
64347,87252-9806,PROFESOR
64348,99198-8517,PROFESOR
64349,09635-4320,EGRESADO
64350,75298-3242,EGRESADO
64351,97279-8245,VECINO
64352,58923-7139,NO_RELACIONADO
64353,97232-3993,VECINO
64354,22827-6122,PADRE
64355,38984-4318,EGRESADO
64356,56645-0260,EGRESADO
64357,44482-9866,NO_RELACIONADO
64358,66870-6121,PROFESOR
64359,39754-3050,ESTUDIANTE
64360,87925-7299,PROFESOR
64361,31465-7758,EGRESADO
64362,02789-6782,ESTUDIANTE
64363,86661-0368,PADRE
64364,63535-3505,EGRESADO
64365,71760-9771,EMPLEADO
64366,37625-5093,PROFESOR
64367,41519-4980,ESTUDIANTE
64368,75389-9486,NO_RELACIONADO
64369,00229-9915,EGRESADO
64370,57059-5699,VECINO
64371,92015-1393,VECINO
64372,25861-6362,EMPLEADO
64373,23627-2385,ESTUDIANTE
64374,35826-0895,EGRESADO
64375,12891-9574,PADRE
64376,74505-4650,EMPLEADO
64377,98665-9872,PROFESOR
64378,82615-7452,EGRESADO
64379,91069-0864,VECINO
